,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,tuktoyaktuk,90,CA,1595985103,93,48.2,69.45,-133.04,10.29
1,quatre cocos,20,MU,1595985488,83,69.8,-20.21,57.76,4.7
2,port pirie,0,AU,1595985488,48,60.8,-33.18,138.02,9.17
3,rafraf,20,TN,1595985488,53,73.4,37.19,10.18,3.36
4,cockburn town,14,TC,1595985488,81,83.28,21.46,-71.14,19.77
5,yellowknife,20,CA,1595984921,40,73.4,62.46,-114.35,10.29
6,ribeira grande,10,PT,1595984910,90,73.44,38.52,-28.7,11.99
7,port alfred,0,ZA,1595985098,81,58.03,-33.59,26.89,12.15
8,bannu,0,PK,1595985489,42,95.27,32.99,70.6,7.94
9,punta arenas,81,CL,1595985086,86,37.4,-53.15,-70.92,13.87
10,three hills,0,CA,1595985438,55,84.0,51.7,-113.27,1.1
11,aswan,0,EG,1595985489,31,89.89,24.09,32.91,4.05
12,mar del plata,40,AR,1595984842,81,43.0,-38.0,-57.56,9.17
13,albany,34,US,1595985081,49,75.0,42.6,-73.97,4.36
14,rikitea,3,PF,1595985080,80,72.52,-23.12,-134.97,15.23
15,bluff,100,NZ,1595984998,70,48.11,-46.6,168.33,7.54
16,hermanus,0,ZA,1595985091,75,52.47,-34.42,19.23,6.13
17,arraial do cabo,0,BR,1595985137,78,73.4,-22.97,-42.03,10.29
18,ushuaia,40,AR,1595984904,94,35.6,-54.8,-68.3,27.51
19,sao roque,40,BR,1595985489,82,73.0,-23.53,-47.14,13.87
20,bridlington,0,GB,1595985489,81,53.6,54.08,-0.19,8.05
21,constitucion,85,CL,1595984963,74,44.96,-35.33,-72.42,6.71
22,vaini,20,TO,1595985085,60,73.4,-21.2,-175.2,20.8
23,bredasdorp,0,ZA,1595985083,93,44.6,-34.53,20.04,3.36
24,kapaa,90,US,1595984907,69,82.4,22.08,-159.32,17.22
25,carnarvon,0,AU,1595984896,82,59.0,-24.87,113.63,12.75
26,lusambo,0,CD,1595985490,41,67.41,-4.97,23.45,0.98
27,yulara,0,AU,1595984909,30,57.2,-25.24,130.99,8.05
28,san borja,34,BO,1595985490,84,73.49,-14.82,-66.85,4.52
29,high wycombe,100,GB,1595985490,89,50.0,51.63,-0.75,6.29
30,norman wells,90,CA,1595984923,68,64.4,65.28,-126.83,13.87
31,camacupa,0,AO,1595985490,50,49.03,-12.02,17.48,2.75
32,labuhan,100,ID,1595985490,73,76.75,-6.88,112.21,10.63
33,batagay,1,RU,1595985490,46,55.58,67.63,134.63,7.52
34,tadine,23,NC,1595985490,68,75.22,-21.55,167.88,24.09
35,marawi,46,PH,1595985117,76,81.0,8.0,124.29,5.01
36,sompeta,100,IN,1595985490,83,83.05,18.93,84.6,6.22
37,kushiro,75,JP,1595985490,88,64.4,42.98,144.37,8.05
38,avarua,64,CK,1595984914,88,71.6,-21.21,-159.78,5.82
39,gubkinskiy,100,RU,1595985490,94,51.33,64.43,76.5,7.27
40,paita,0,PE,1595985136,83,61.79,-5.09,-81.11,13.06
41,cairns,0,AU,1595984877,23,73.4,-16.92,145.77,12.75
42,phon,100,TH,1595985491,65,83.88,15.82,102.6,5.68
43,kirakira,100,SB,1595985125,70,85.37,-10.45,161.92,5.77
44,atuona,0,PF,1595985094,72,80.06,-9.8,-139.03,22.91
45,lebu,64,CL,1595985095,84,45.55,-37.62,-73.65,14.09
46,mataura,100,NZ,1595985078,66,48.56,-46.19,168.86,6.29
47,bunbury,76,AU,1595985491,94,57.99,-33.33,115.63,2.48
48,el alto,0,PE,1595985491,90,59.99,-4.27,-81.21,14.14
